"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Veil of Shadows","Homebrew","—","rare","wondrous item","yes","None","Stealth-enhancing","Shadow Stab (1/day), Concealed Escape (1/day)","1 lb","1,800 gp","This midnight-black cloak seems to drink in the light around it, shimmering faintly like rippling water when viewed from the corner of your eye. The edges are embroidered with dark silver thread in a pattern of swirling mists, and the fabric is unnaturally cool to the touch. When worn, it cloaks the wearer in subtle darkness, muffling footsteps and making their movements blend seamlessly into the shadows. Whispers of unseen voices seem to follow the cloak, as though the shadows themselves are eager to aid its master.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Shadow Stab (Bonus Action, 1/day): Your next melee weapon attack deals an additional 2d6 necrotic damage. If made while hidden, the target must succeed on a Wisdom saving throw (DC = 8 + your Dexterity modifier + proficiency bonus) or become frightened of you until the end of its next turn.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Concealed Escape (Reaction, 1/day): When you take damage or are targeted by an attack, you may become invisible until the start of your next turn and move up to half your speed without provoking opportunity attacks."
"The Aegis Codex","Homebrew","—","rare","wondrous item (book)","requires attunement by a creature with at least 1 level in Wizard","None","Arcane Distraction (1/day), Arcane Barrier (1/day)","None","3 lb","2,000 gp","Bound in dark blue leather with silver arcane glyphs glowing faintly along its spine, this tome radiates protective energy. Within its pages are ancient spells to create barriers of defense and disrupt enemy magic, allowing the wizard to shield their allies and manipulate the battlefield.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Arcane Distraction (Reaction, 1/day): When a creature you can see makes an ability check or saving throw, you may force them to reroll with a -2 penalty. They must use the lower result.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Arcane Barrier (Bonus Action, 1/day): You create a protective field around allies within 30 feet. While you maintain concentration (up to 1 minute), affected allies gain a +2 bonus to AC."
"Tempest Lantern","Homebrew","—","artifact","wondrous item","yes","None","Weather control","None","5 lb","Priceless","This ancient lantern, hidden in the Ironpeak Mountains, must be recovered from a forge atop the storm-wracked peaks. The Tempest Lantern is an ancient artifact of elemental power, capable of manipulating the very weather around it. Legends say the one who holds the lantern may calm raging storms or summon blizzards and lightning with a word."
"Talisman of Elemental Fury","Homebrew","—","rare","wondrous item","requires attunement by a creature with at least 1 level in Druid","Varies (Elemental Surge)","Elemental Surge (1/day), Elemental Ward (1/day)","None","1 lb","1,800 gp","This intricate talisman, shaped like an intertwining swirl of flames, water, and vines, hums faintly with primal energy. It allows druids to call upon the raw forces of nature.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Elemental Surge (Action, 1/day): Choose an element (fire, cold, lightning, acid, or poison). Creatures within a 10-foot radius of a point you choose within 30 feet must make a Dexterity saving throw (DC = 8 + your Wisdom modifier + proficiency bonus). On a failed save, they take 2d8 damage of the chosen type and suffer one of the following effects:<br>&nbsp;&nbsp;&nbsp;&nbsp;- Fire: Target ignites, taking 1d6 fire damage at the start of their next turn.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Cold: Movement speed is reduced by 10 feet.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Lightning: Cannot take reactions until the end of their next turn.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Acid: Armor/shields take -1 penalty to AC.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Poison: Target is poisoned until end of next turn.<br>Damage increases to 3d8 at 5th level, 4d8 at 11th, 5d8 at 17th.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Elemental Ward (Action, 1/day): You summon an aura within 20 feet for 1 minute. Allies in the aura are immune to being frightened or charmed. If they were already affected by either condition, it ends when the aura activates."
"Sigil of Thunderous Might","Homebrew","—","rare","wondrous item","requires attunement by a creature with at least 1 level in Fighter","None","Crushing Strike (1/day), Shielding Impact (1/day)","None","1 lb","1,500 gp","A heavy iron sigil worn as a pendant or shield decoration, bearing the image of a hammer striking an anvil. It channels devastating force into a warrior’s attacks.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Crushing Strike (1/day): Before determining if an attack hits, you may activate this ability. If the attack hits, it deals an additional 2d6 thunder damage, channeling raw force through your blow.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Shielding Impact (1/day): Before determining if an attack hits, you may activate this ability. On a hit, you and up to two allies within 20 feet gain temporary hit points equal to half the damage dealt."
"Shadowstride Boots","Homebrew","—","artifact","wondrous item","yes","","","","","","These ancient boots are hidden deep in the Everwood and must be earned through the trust and trials of the elves. They allow the wearer to traverse difficult terrain effortlessly and bypass magical wards and defenses, making them invaluable for stealth and exploration through dangerous lands."
"Seekers Eye","Homebrew","—","artifact","wondrous item","yes","","","","","","A legendary artifact created by a wizard named Jon from the plucked eye of an ogre. It acts as a magical compass capable of locating any magical item on the same plane of existence. It is hidden behind a magical barrier that only beings from the a different reality can pass through."
"Seal of Holy Vengeance","Homebrew","—","rare","wondrous item","requires attunement by a creature with at least 1 level in Paladin","","Judgment (1/day), Sanctuary (1/day)","","1 lb","2,000 gp","This silver emblem is forged with golden runes and a motif of a flaming sword encircled by angelic wings. It pulses with celestial might.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Judgment (Bonus Action, 1/day): Imbue your next melee weapon attack with radiant energy. On a hit, deal an extra 2d6 radiant damage. If the target is a fiend or undead, a 10-foot aura of radiant light appears centered on it for one round. Creatures of your choice in the area gain temporary hit points equal to your Charisma modifier, while enemies take 1d6 radiant damage at the start of their turns.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Sanctuary (Action, 1/day): You create a 30-foot aura that grants temporary hit points equal to twice your Charisma modifier to all allies. While it lasts (up to 1 minute, concentration), enemies that strike those allies with melee attacks take radiant damage equal to your Charisma modifier."
"Scroll of the Vanquisher's Amulet","Homebrew","—","artifact","wondrous item","no","","none","","0.5 lb","","This aged parchment unveils the enigmatic qualities of the Amulet of the Vanquisher, an ornate relic adorned with a delicately etched rose, gracing both its front and back.<br>When this amulet is donned, its wearer is infused with newfound strength, agility, and an unshakable resolve. In the crucible of battle, it empowers the champion to achieve remarkable feats, rendering them a formidable force.<br>Yet, as the emblazoned rose suggests, the amulet conceals a hidden aspect. After the fury of the battle subsides, the wearer pays a steep price in life force. The alluring bloom conceals the thorn within.<br>Those who approach the amulet with discernment, especially those well-versed in the arcane or the lore of enchanted artifacts, may unearth the hidden truth behind the rose-adorned Amulet of the Vanquisher. It is only with such understanding that the amulet's full potential can be harnessed, and its deadly secret unveiled."
"Robe of Elemental Radiance","Homebrew","—","rare","wondrous item","requires attunement by a creature with at least 1 level in Sorcerer","","Arcane Flare (1/day), Chaos Distortion (1/day)","","2 lb","2,200 gp","A flowing robe embroidered with golden arcane symbols, shimmering with magical energy that amplifies raw spellcasting power.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Arcane Flare (1/day): When a spell you cast deals damage to one or more enemies, roll an additional 2d8 damage of a type you choose (must match a type dealt by the spell). At higher levels: 3d8 at 5th, 4d8 at 11th, 5d8 at 17th.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Chaos Distortion (Action, 1/day): Unleash a pulse of chaotic energy in a 20-foot radius centered on a point within 60 feet. All affected enemies suffer disadvantage on their next attack rolls."
"Ring of the grand wizard","Homebrew","—","rare","ring","requires attunement by a spellcaster","None","Single-use unprepared spell casting (1/day)","","—","2,000 gp","This sleek silver band is engraved with shifting runes that glow faintly when magic is channeled through it. Once per day, the wearer may cast a spell of their choice without having it prepared or known, provided the spell is of a level they can normally cast. Once used, the ring cannot be recharged until the next dawn."
"Requiping Ring","Homebrew","—","rare","ring","yes","None","Item storage (combat-useful only)","","—","1,800 gp","This small golden ring contains a compact extradimensional space that can hold multiple combat-ready items. You may store and retrieve any weapon, potion, scroll, or tool that can be equipped and used during battle. Items must be small enough to be wielded or worn—no large or heavy gear. Retrieving an item requires a bonus action."
"Obsidian Blade","Homebrew","—","artifact","weapon (longsword or greatsword)","yes","","","","","","Forged deep beneath the Ironpeak Mountains in ancient dwarven forges, this blade was crafted to sever even the strongest magical defenses. The party must earn the trust of the dwarves to access the vault where it is hidden. The Obsidian Blade bypasses magical resistances and can cut through magical barriers as if they were mundane."
"Medallion of Harmonious Resonance","Homebrew","—","rare","wondrous item (medallion)","requires attunement by a creature with at least 1 level in Bard","1d12 thunder (conditional)","Resonant Crescendo (1/day), Melodic Harmony (1/day)","","0.5 lb","1,800 gp","This ornate medallion is shaped like a musical note and inlaid with shimmering opals that glow softly when magical energy flows through it. It hums faintly when the wearer channels bardic power, amplifying melodies that stir the soul and bolster allies in the heat of battle.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Resonant Crescendo (Reaction, 1/day): When an ally you can see makes an attack roll, you may use your reaction to grant them +2 to the roll. If the attack hits, it deals an additional 1d12 thunder damage as your music echoes through the strike.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Melodic Harmony (Action, 1/day): You perform a magically infused tune that invigorates your allies. You and all allies within 30 feet gain temporary hit points equal to your Bard level, and have advantage on all saving throws for 1 minute (concentration required)."
"Gauntlets of Whirling Strikes","Homebrew","—","rare","wondrous item (gauntlets)","requires attunement by a creature with at least 1 level in Monk","None","Whirling Fury (1/day), Evasive Maneuver (1/day)","","1 lb","1,600 gp","Crafted from dark leather reinforced with steel studs, these gauntlets radiate kinetic energy. They sharpen a monk’s timing and precision.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Whirling Fury (1/day): When you hit a single target with multiple consecutive attacks, each hit deals +1 additional damage of the same type. This bonus resets if you miss or switch targets.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Evasive Maneuver (1/day): As a bonus action, grant yourself and all allies within 10 feet a +1 bonus to AC and Dexterity saving throws for 1 minute."
"Crystal of True Sight","Homebrew","—","artifact","wondrous item","yes","","","","","","This ancient crystal is recovered from the ruins of a fallen civilization in the Orcish Wastes. Now guarded by shamanic orcs, the artifact grants the wielder true sight (30 ft) and the ability to see through all illusions and magical obfuscations cast by the wizard antagonist. Vital for navigating complex traps and magical concealments."
"Celestial Shield","Homebrew","—","artifact","shield","yes","","","","","","This radiant shield is protected by celestial guardians in a hidden sanctuary of the Orcish Wastes. It is said to block the wizard's most powerful spells. The wielder gains advantage on saving throws against spells, and once per long rest, may cast globe of invulnerability (DC 17) centered on themselves."
"Bracer of Piercing Arrows","Homebrew","—","rare","wondrous item","requires attunement by a creature with at least 1 level in Ranger","None","Piercing Shot (3/day), Precise Aim (1/day)","None","1 lb","1,500 gp","This finely tooled leather bracer is decorated with intricate carvings of fletched arrows. When worn, it imbues the ranger’s shots with uncanny precision, enabling them to strike critical targets with deadly accuracy.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Piercing Shot (3/day): Before making an attack roll with a ranged weapon, you can activate Piercing Shot and choose a specific body part to target. On a hit, the target suffers a special effect based on the location struck:<br>&nbsp;&nbsp;&nbsp;&nbsp;- Eyes – Target has disadvantage on Wisdom (Perception) checks relying on sight and on ranged attack rolls until the end of its next turn.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Arm/Hand – Target cannot wield two-handed weapons and may only hold a single object at a time until the end of its next turn.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Foot/Leg – Target’s movement speed is halved until the end of its next turn.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Torso – Target must make a Constitution saving throw (DC = 10 + your proficiency bonus + your Dexterity modifier) the next time it attempts an action. On a failed save, the target loses its action and reactions until the start of its next turn.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Precise Aim (1/day): As a bonus action at the start of your turn, you may activate Precise Aim. Until the end of your next turn, whenever you hit a creature with a weapon attack, all allies gain advantage on attack rolls against that target."
"Amulet of Divine Retribution","Homebrew","—","rare","wondrous item","requires attunement by a creature with at least 1 level in Cleric","None","Divine Wrath (1/day), Divine Protection (1/day)","None","0.5 lb","1,500 gp","This silver amulet, engraved with glowing holy runes, hums faintly with divine power. When a cleric channels their faith, the amulet lashes out at their foes, turning holy resolve into swift judgment.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Divine Wrath (1/day): As an action, you may target one hostile creature you can see within 60 feet. That creature must make an Intelligence saving throw against your spell save DC. On a failed save, the creature becomes vulnerable to radiant and fire damage for 1 minute. The creature may repeat the saving throw at the end of each of its turns, ending the effect on a success.<br>&nbsp;&nbsp;&nbsp;&nbsp;- Divine Protection (1/day): As an action, you radiate a protective aura of holy energy. At the start of each of your turns for up to 1 minute (as long as you maintain concentration), all allies within 30 feet regain 1d10 hit points. This effect ends early if your concentration is broken."
"Aetherstone Compass","CAL","1","artifact","wondrous item","requires attunement","None","None","None","None","0 gp","Located in the Silverleaf Lands. Hidden in a ruined outpost at the edge of the Everwood. The party must defeat the wizard’s forces attempting to claim it and secure it for themselves. The compass will guide them on the safest and quickest path to the wizard’s stronghold."
